Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
644,0.100625,3335
645,0.100781,3336
646,0.100937,2311
647,0.101094,3335
648,0.101250,2824
649,0.101406,2311
650,0.101562,1031
651,0.101719,2312
652,0.101875,1287
653,0.102031,2824
654,0.102188,1544
655,0.102344,2056
656,0.102500,1799
657,0.102656,776
658,0.102813,3079
659,0.102969,1031
660,0.103125,1288
661,0.103281,3080
662,0.103438,262
663,0.103594,2311
664,0.103750,3079
665,0.103906,3848
666,0.104063,3079
667,0.104219,2311
668,0.104375,2823
669,0.104531,1288
670,0.104688,3335
671,0.104844,2824
672,0.105000,775
673,0.105156,2311
674,0.105313,1288
675,0.105469,3079
676,0.105625,3335
677,0.105781,2055
678,0.105938,3847
679,0.106094,3335
680,0.106250,775
681,0.106406,1800
682,0.106563,1287
683,0.106719,2055
684,0.106875,3336
685,0.107031,2823
686,0.107188,1288
687,0.107344,1544
688,0.107500,3335
689,0.107656,1799
690,0.107813,3847
691,0.107969,775
692,0.108125,2311
693,0.108281,3335
694,0.108438,1287
695,0.108594,2312
696,0.108750,2311
697,0.108906,1800
698,0.109063,3848
699,0.109219,775
700,0.109375,3848
701,0.109531,1031
702,0.109687,2822
703,0.109844,1799
704,0.110000,2311
705,0.110156,3336
706,0.110312,2311
707,0.110469,2311
708,0.110625,2312
709,0.110781,2311
710,0.110937,1799
711,0.111094,1031
712,0.111250,775
713,0.111406,776
714,0.111562,3335
715,0.111719,2823
716,0.111875,2310
717,0.112031,3336
718,0.112187,2311
719,0.112344,3079
720,0.112500,3335
721,0.112656,775
722,0.112812,1287
723,0.112969,1288
724,0.113125,1287
725,0.113281,3847
726,0.113437,1287
727,0.113594,3080
728,0.113750,2056
729,0.113906,2311
730,0.114062,2056
731,0.114219,2312
732,0.114375,1031
733,0.114531,2056
734,0.114687,3335
735,0.114844,775
736,0.115000,3336
737,0.115156,3847
738,0.115312,2312
739,0.115469,2823
740,0.115625,3335
741,0.115781,3336
742,0.115937,3335
743,0.116094,776
744,0.116250,2312
745,0.116406,2312
746,0.116562,2311
747,0.116719,2056
748,0.116875,2055
749,0.117031,775
750,0.117188,775
751,0.117344,1799
752,0.117500,1800
753,0.117656,2311
754,0.117813,1287
755,0.117969,1287
756,0.118125,3335
757,0.118281,2055
758,0.118438,2312
759,0.118594,3335
760,0.118750,1288
761,0.118906,3335
762,0.119063,3336
